date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,close_adj
2025-10-28,TAIEX,8579810711,555663566461,28041.01,28087.93,27885.62,27949.11,-44.52,3915558,27949.11
2025-10-29,TAIEX,9076231278,594219629472,28157.91,28395.31,28139.65,28294.74,345.63,3840769,28294.74
2025-10-30,TAIEX,9446378341,633558030252,28350.24,28527.68,28116.6,28287.53,-7.21,4261236,28287.53
2025-10-31,TAIEX,8339995492,576144513446,28280.47,28489.76,28233.35,28233.35,-54.18,3685497,28233.35
2025-11-03,TAIEX,8299689369,581496914983,28253.53,28494.99,28150.45,28334.59,101.24,3801445,28334.59
2025-11-04,TAIEX,8404740088,604283395876,28364.76,28554.61,28033.62,28116.56,-218.03,3961004,28116.56
2025-11-05,TAIEX,8989778518,619346788683,27785.91,27799.09,27373.05,27717.06,-399.5,4143624,27717.06
2025-11-06,TAIEX,7863001986,514272235406,27906.44,28061.53,27879.7,27899.45,182.39,3191145,27899.45
2025-11-07,TAIEX,7878592276,486727226387,27818.54,27818.54,27621.48,27651.41,-248.04,3660081,27651.41
2025-11-10,TAIEX,7491028505,504213278890,27805.47,27976.89,27680.51,27869.51,218.1,3251620,27869.51
2025-11-11,TAIEX,8924063428,584494820328,28031.54,28187.7,27784.95,27784.95,-84.56,3913468,27784.95
2025-11-12,TAIEX,8954069218,576091990790,27853.47,28071.76,27799.92,27947.09,162.14,3816761,27947.09
2025-11-13,TAIEX,10545273898,674189961874,27867.59,28038.24,27811.81,27903.56,-43.53,4546715,27903.56
2025-11-14,TAIEX,9939352945,614575227909,27816.45,27816.45,27383.34,27397.5,-506.06,4948433,27397.5
2025-11-17,TAIEX,8604107358,547722102923,27600.74,27723.77,27447.31,27447.31,49.81,3814397,27447.31
2025-11-18,TAIEX,10450443082,672757035089,27310.4,27310.4,26756.12,26756.12,-691.19,5492551,26756.12
2025-11-19,TAIEX,8069342681,516180089038,26708.28,26902.97,26580.12,26580.12,-176.0,3919396,26580.12
2025-11-20,TAIEX,8497528679,592368253864,27212.91,27493.63,27183.03,27426.36,846.24,3468629,27426.36
2025-11-21,TAIEX,8853582470,581860848616,26821.97,26821.97,26395.98,26434.94,-991.42,4474744,26434.94
2025-11-24,TAIEX,9236525911,749163116671,26596.03,26764.13,26482.33,26504.24,69.3,2934302,26504.24
2025-11-25,TAIEX,6714625759,490750703418,26995.9,27118.02,26793.71,26912.17,407.93,2858521,26912.17
2025-11-26,TAIEX,7902773415,523531629362,27063.17,27409.54,27063.17,27409.54,497.37,3189083,27409.54
2025-11-27,TAIEX,7539156843,506517208172,27517.24,27659.06,27436.59,27554.53,144.99,2947049,27554.53
2025-11-28,TAIEX,7671742311,489885964092,27566.12,27796.9,27566.12,27626.48,71.95,2985445,27626.48
2025-12-01,TAIEX,7418235597,493440574126,27674.16,27697.06,27342.53,27342.53,-283.95,3283316,27342.53
2025-12-02,TAIEX,7321099919,486538825279,27550.35,27741.89,27477.1,27564.27,221.74,3003839,27564.27
2025-12-03,TAIEX,6838633055,457284590648,27605.63,27847.67,27605.63,27793.04,228.77,2825733,27793.04
2025-12-04,TAIEX,6475222009,397985953488,27773.42,27880.23,27636.63,27795.71,2.67,2684178,27795.71
2025-12-05,TAIEX,6781520261,457238821346,27796.43,27980.89,27738.5,27980.89,185.18,2968196,27980.89
2025-12-08,TAIEX,7603908443,438297179091,28034.0,28303.78,28026.39,28303.78,322.89,3111236,28303.78
2025-12-09,TAIEX,8116345692,524525111897,28364.04,28390.24,28157.27,28182.6,-121.18,3654191,28182.6
2025-12-10,TAIEX,8239950462,509141432257,28190.76,28417.09,28190.76,28400.73,218.13,3681759,28400.73
2025-12-11,TAIEX,8087246896,537128803314,28385.23,28568.02,27984.19,28024.75,-375.98,3741874,28024.75
2025-12-12,TAIEX,8508400161,488652979581,28097.54,28272.06,28071.34,28198.02,173.27,3461174,28198.02
2025-12-15,TAIEX,7855274707,451740486315,28119.79,28119.79,27684.87,27866.94,-331.08,3557639,27866.94
2025-12-16,TAIEX,9586999810,547186167710,27721.1,27740.66,27355.67,27536.66,-330.28,4338142,27536.66
2025-12-17,TAIEX,9020647323,524829243071,27596.18,27780.69,27469.6,27525.17,-11.49,3677384,27525.17
2025-12-18,TAIEX,8450315748,460035955277,27447.45,27569.44,27350.77,27468.53,-56.64,3339942,27468.53
